0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 6 7 9
0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 6 7 8
0 3 5 9 10 17 29 31 32
0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 7 8 11
0 1 2 3 4 5 6 9 10
0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 6 7 8
0 1 2 3 5 6 7 9 17
0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 6 7 8
0 1 2 3 5 7 9 11 18
0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 6 7 9
0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 9 10 13
0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 6 9 10
0 1 2 3 4 5 7 8 33
0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 9 10 13
0 1 2 4 5 6 7 8 15
0 1 2 4 5 6 7 8 22
0 1 2 3 4 5 6 7 9
0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 6 7 9
0 1 2 3 4 5 7 8 13
0 1 2 3 4 5 6 7 8
0 1 2 3 4 6 7 9 14
0 1 2 3 4 6 7 8 24
0 1 2 3 4 5 6 7 8
0 1 2 3 4 6 7 9 25
0 1 2 3 4 6 7 8 14
0 1 2 3 4 5 6 7 9
0 1 2 3 4 5 6 7 8
0 1 2 3 4 6 7 8 19
0 1 2 4 5 6 7 9 15
0 1 2 3 4 6 7 8 24
0 1 2 3 4 5 8 11 12
0 1 2 3 4 5 6 7 9
0 1 2 3 4 6 7 8 19
0 1 2 3 4 5 7 8 13
0 1 3 5 6 7 9 16 20
0 1 2 3 4 5 6 8 10
0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 6 9 10
0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 6 7 8
1 2 4 6 9 10 19 22 23
0 1 2 3 4 5 7 8 11
0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 6 7 9
0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 6 9 10
0 1 2 3 4 6 7 8 14
1 2 3 5 6 7 8 17 34
0 1 2 3 4 6 9 10 14
0 1 2 3 4 5 6 8 12
0 1 2 3 4 5 6 7 8
0 1 2 4 5 6 9 10 15
0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 6 9 10
0 1 2 3 4 5 7 8 11
0 1 2 3 4 6 8 12 24
0 1 3 4 5 6 9 10 20
0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 6 7 9
0 1 2 3 5 6 7 8 17
0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 6 9 10
0 1 2 3 4 5 6 8 28
0 1 2 3 4 6 9 10 25
0 2 3 4 5 8 10 11 21
0 1 2 3 4 5 6 8 12
